Table,45.17116,0.052,59.19015,0,0,0,1.3,1.3,1.3
Chair,42.05116,-0.052,59.02115,0,315,0,1.3,1.3,1.3
Plane2,15.9,-0.12,0,0,0,0,4,1,2
Plane,41.7,0,45.32,0,0,0,8,1,9
Building,66.19012,0,59.96781,0,45,0,1,1,1
Housesub,45.561,1.508,12.36484,0,270,0,1.3,1.3,1.3
Housesub,25.45496,1.398,43.969,0,0,0,1.3,1.3,1.3
Housesub,25.7,1.2,27.54,0,0,0,1,1,1
Rock2,26.6959,0,19.64852,0,0,0,1,1,1
Plants,32.623,-0.2,23.487,0,0,0,1,1,1
Plants,30.06,-0.2,21.6,0,0,0,1,1,1
Plants,62.15599,-0.11,31.26,0,0,0,1,1,1
House,21.64,0,27.52,0,180,0,1,1,1
House,43.39,0,66.06999,0,270,0,1.3,1.3,1.3
House,45.6,0,7.1,0,90,0,1.3,1.3,1.3
House,20.19012,-0.11,43.93,0,180,0,1.3,1.3,1.3
Flower2,37.8,0,14.21,0,0,0,1,1,1
Flower2,29.17,0,21.96,0,0,0,1,1,1
Flower2,37.93328,0,33.60588,0,0,0,1,1,1
Flower2,48.83015,0,35.15287,0,0,0,1,1,1
Flower2,37.93328,0,14.67875,0,0,0,1,1,1
Flower2,37.12014,0,14.11286,0,0,0,1,1,1
Flower2,32.64,0,59.68,0,0,0,1,1,1
Flower2,37.8,0,33.13713,0,0,0,1,1,1
Flower2,37.12014,0,33.04,0,0,0,1,1,1
Flower2,24.82,0,21.44,0,0,0,1,1,1
Flower2,30.37,0,20.12,0,0,0,1,1,1
Flower2,49.51,0,35.25,0,0,0,1,1,1
Flower2,61.413,0,29.67,0,0,0,1,1,1
Flower2,64.6,0,30.06,0,0,0,1,1,1
Flower2,49.64328,0,35.71875,0,0,0,1,1,1
Branch,30.35,0.02040532,34.73904,0,0,0,1,1,1
Branch,30.411,0.0765982,34.084,0,0,0,1,1,1
Branch,30.59869,0,34.35,0,0,0,1,1,1
Branch,30.337,0,34.35,0,0,0,1,1,1
Branch,30.14931,0.0765982,34.084,0,0,0,1,1,1
Branch,30.671,0.0765982,34.084,0,0,0,1,1,1
Branch,29.82,0,34.35,0,0,0,1,1,1
Branch,30.08831,0.02040532,34.73904,0,0,0,1,1,1
Branch,30.61,0.02040532,34.73904,0,0,0,1,1,1
Rockfield,25.37012,-0.16,26.59,0,0,0,1,1,1
Rockfield,26.92412,-0.292,43.293,0,0,0,1.3,1.3,1.3
Rockfield,26.93712,-0.292,45.503,0,0,0,1.3,1.3,1.3
Rockfield,43.55001,-0.1999274,55.5,0,90,0,1,1,1
Rockfield,50.25001,-0.1999274,46.81,0,320,0,1,1,1
Rockfield,61.02,-0.09,26.77,0,180,0,1,1,1
Rockfield,61.02999,-0.11,28.47,0,180,0,1,1,1
Rockfield,25.38012,-0.16,28.27,0,0,0,1,1,1
Stump,24.65,0,34.74,0,0,0,1,1,1
Stump,14.67814,0,33.35,0,0,0,5,5,5
Rock3,30.8059,-0.62,68.74852,0,0,0,1,1,1
Rock3,25.94,-0.4806076,74.55797,0,0,0,1,1,1
Flower,62.71,0,32.25,0,0,0,1,1,1
Flower,32.599,0,22.307,0,0,0,1,1,1
Rockfield2,73.00002,-0.24,19.71,0,90,0,1,1,1
Tree,54.89,-0.6499271,76,0,0,0,5,5,5
